report_date,market_data_as_of,entity_type,category,ticker,name,horizon_months,price_return,rank,overall_rank,within_category_rank,market_cap,market_cap_coverage,price_date
2026-08-03,2026-07-31,category,Value-Based Care,,Value-Based Care,3,0.591197155801,1,,,7199786717.83,1,2026-07-31
2026-08-03,2026-07-31,category,Outpatient Providers,,Outpatient Providers,3,0.340769214847,2,,,38658230150.1,1,2026-07-31
2026-08-03,2026-07-31,category,Payers,,Payers,3,0.155820525683,3,,,769783972395,1,2026-07-31
2026-08-03,2026-07-31,category,Health Care Real Estate,,Health Care Real Estate,3,0.105071753293,4,,,84644147260.1,1,2026-07-31
2026-08-03,2026-07-31,category,Inpatient Non-Acute Providers,,Inpatient Non-Acute Providers,3,0.0985947225569,5,,,31441382422.3,1,2026-07-31
2026-08-03,2026-07-31,category,Digital Health,,Digital Health,3,0.0707686051508,6,,,11089172316.8,1,2026-07-31
2026-08-03,2026-07-31,category,Health System Providers,,Health System Providers,3,0.016579325303,7,,,117872712667,1,2026-07-31
2026-08-03,2026-07-31,category,Health IT and Data,,Health IT and Data,3,-0.133568569836,8,,,468878860553,1,2026-07-31
2026-08-03,2026-07-31,category,Inpatient Non-Acute Providers,,Inpatient Non-Acute Providers,12,0.872963456208,1,,,31441382422.3,1,2026-07-31
2026-08-03,2026-07-31,category,Payers,,Payers,12,0.633919036673,2,,,769783972395,1,2026-07-31
2026-08-03,2026-07-31,category,Value-Based Care,,Value-Based Care,12,0.565502352711,3,,,7199786717.83,1,2026-07-31
2026-08-03,2026-07-31,category,Outpatient Providers,,Outpatient Providers,12,0.451819691885,4,,,38658230150.1,1,2026-07-31
2026-08-03,2026-07-31,category,Health Care Real Estate,,Health Care Real Estate,12,0.334038575617,5,,,84644147260.1,0.967284176288,2026-07-31
2026-08-03,2026-07-31,category,Health System Providers,,Health System Providers,12,0.203844138654,6,,,117872712667,1,2026-07-31
2026-08-03,2026-07-31,category,Digital Health,,Digital Health,12,-0.243013900263,7,,,11089172316.8,1,2026-07-31
2026-08-03,2026-07-31,category,Health IT and Data,,Health IT and Data,12,-0.372656039778,8,,,468878860553,1,2026-07-31
2026-08-03,2026-07-31,category,Outpatient Providers,,Outpatient Providers,24,0.488222179537,1,,,38658230150.1,1,2026-07-31
2026-08-03,2026-07-31,category,Health Care Real Estate,,Health Care Real Estate,24,0.478615402085,2,,,84644147260.1,0.967284176288,2026-07-31
2026-08-03,2026-07-31,category,Digital Health,,Digital Health,24,0.447906255139,3,,,11089172316.8,0.893638736492,2026-07-31
2026-08-03,2026-07-31,category,Inpatient Non-Acute Providers,,Inpatient Non-Acute Providers,24,0.226872803297,4,,,31441382422.3,1,2026-07-31
2026-08-03,2026-07-31,category,Health System Providers,,Health System Providers,24,0.225009812696,5,,,117872712667,1,2026-07-31
2026-08-03,2026-07-31,category,Health IT and Data,,Health IT and Data,24,0.0325953994846,6,,,468878860553,1,2026-07-31
2026-08-03,2026-07-31,category,Payers,,Payers,24,-0.0521425451168,7,,,769783972395,1,2026-07-31
2026-08-03,2026-07-31,category,Value-Based Care,,Value-Based Care,24,-0.131238493217,8,,,7199786717.83,1,2026-07-31
2026-08-03,2026-07-31,stock,Digital Health,AMWL,Amwell,3,0.756535947712,1,3,1,179616192.25,1,2026-07-31
2026-08-03,2026-07-31,stock,Health Care Real Estate,DOC,Healthpeak properties,3,0.329476248477,1,13,1,15050032094.7,1,2026-07-31
2026-08-03,2026-07-31,stock,Health IT and Data,IQV,Iqvia,3,0.489636813082,1,8,1,38684292000,1,2026-07-31
2026-08-03,2026-07-31,stock,Health System Providers,THC,Tenet Health,3,0.390189338135,1,12,1,20514630820,1,2026-07-31
2026-08-03,2026-07-31,stock,Inpatient Non-Acute Providers,PACS,PACS Group,3,0.394242424242,1,10,1,7282112019.76,1,2026-07-31
2026-08-03,2026-07-31,stock,Outpatient Providers,DVA,Davita,3,0.583184965381,1,5,1,15410176650,1,2026-07-31
2026-08-03,2026-07-31,stock,Payers,OSCR,Oscar Health,3,0.6884802596,1,4,1,9412611460,1,2026-07-31
2026-08-03,2026-07-31,stock,Value-Based Care,PIII,P3 Health,3,2.35494880546,1,1,1,32693184.14,1,2026-07-31
2026-08-03,2026-07-31,stock,Digital Health,OMDA,Omada Health,3,0.297580117724,2,15,2,1179458378.88,1,2026-07-31
2026-08-03,2026-07-31,stock,Health Care Real Estate,OHI,Omega Healthcare Investors,3,0.0776926351639,2,26,2,15143989930,1,2026-07-31
2026-08-03,2026-07-31,stock,Health IT and Data,HCAT,Health Catalyst,3,0.441379310345,2,9,2,154438501.8,1,2026-07-31
2026-08-03,2026-07-31,stock,Health System Providers,UHS,Universal Health Services,3,0.00862275449102,2,34,2,10196742962.4,1,2026-07-31
2026-08-03,2026-07-31,stock,Inpatient Non-Acute Providers,ACHC,Acadia Healthcare,3,0.0635547576302,2,27,2,2757630145.5,1,2026-07-31
2026-08-03,2026-07-31,stock,Outpatient Providers,LFST,Lifestance Health,3,0.39176626826,2,11,2,4001624847.36,1,2026-07-31
2026-08-03,2026-07-31,stock,Payers,HUM,Humana,3,0.557419851903,2,6,2,43692420868.9,1,2026-07-31
2026-08-03,2026-07-31,stock,Value-Based Care,AGL,Agilon Health,3,2.0970250169,2,2,2,2073627800,1,2026-07-31
2026-08-03,2026-07-31,stock,Digital Health,GDRX,GoodRx,3,0.203921568627,3,18,3,1039733395.11,1,2026-07-31
2026-08-03,2026-07-31,stock,Health Care Real Estate,VTR,"Ventas, Inc",3,0.0623721881391,3,28,3,47965614030.1,1,2026-07-31
2026-08-03,2026-07-31,stock,Health IT and Data,CCSI,Consensus Cloud Solutions,3,0.325564457393,3,14,3,669685380,1,2026-07-31
2026-08-03,2026-07-31,stock,Health System Providers,HCA,HCA Healthcare,3,-0.0704241612598,3,43,3,87161338885,1,2026-07-31
2026-08-03,2026-07-31,stock,Inpatient Non-Acute Providers,EHC,Encompass Health,3,0.0334015630815,3,30,3,11018041815.6,1,2026-07-31
2026-08-03,2026-07-31,stock,Outpatient Providers,OPCH,Option Care Health,3,0.149775336995,3,21,3,3449554146.29,1,2026-07-31
2026-08-03,2026-07-31,stock,Payers,CLOV,Clover Health,3,0.538745387454,3,7,3,2196273631.08,1,2026-07-31
2026-08-03,2026-07-31,stock,Value-Based Care,ASTH,Astrana Health,3,0.0192032100889,3,31,3,1763186344.08,1,2026-07-31
2026-08-03,2026-07-31,stock,Digital Health,TDOC,Teladoc,3,0.0386996904025,4,29,4,1219099780.91,1,2026-07-31
2026-08-03,2026-07-31,stock,Health Care Real Estate,NHI,National Health Investors,3,-0.000782166601486,4,38,4,3715308205.35,1,2026-07-31
2026-08-03,2026-07-31,stock,Health IT and Data,SOLV,Solventum,3,0.282305267897,4,16,4,13571702000,1,2026-07-31
2026-08-03,2026-07-31,stock,Inpatient Non-Acute Providers,ENSG,The Ensign Group,3,-0.0302634443719,4,41,4,10383598441.4,1,2026-07-31
2026-08-03,2026-07-31,stock,Outpatient Providers,FMS,Fresenius,3,0.140951534015,4,22,4,13782736811.6,1,2026-07-31
2026-08-03,2026-07-31,stock,Payers,CVS,CVS Health,3,0.27214033378,4,17,4,135133460000,1,2026-07-31
2026-08-03,2026-07-31,stock,Value-Based Care,PRVA,Privia Health Group,3,-0.0474849094567,4,42,4,2982712892.58,1,2026-07-31
2026-08-03,2026-07-31,stock,Digital Health,HIMS,Hims & Hers,3,0.0131338927399,5,33,5,6427580190.15,1,2026-07-31
2026-08-03,2026-07-31,stock,Health Care Real Estate,MPT,Medical Properties Trust,3,-0.0831683168317,5,44,5,2769203000,1,2026-07-31
