change_type,entity_type,category,ticker,name,horizon_months,previous_rank,current_rank,rank_delta,previous_return,current_return,return_delta,previous_report_date,current_report_date,detail
category_performance,category,"Digital Health, Specialty, Benefits",,"Digital Health, Specialty, Benefits",12,9,9,0,0.10782356663,0.091407915079,-0.016415651551,2026-08-10,2026-08-17,"Digital Health, Specialty, Benefits moved from rank #9 to #9 among subcategories at 12 months; return +10.8% to +9.1%."
category_performance,category,"Digital Health, Specialty, Benefits",,"Digital Health, Specialty, Benefits",24,5,5,0,0.575136955385,0.499253980766,-0.075882974619,2026-08-10,2026-08-17,"Digital Health, Specialty, Benefits moved from rank #5 to #5 among subcategories at 24 months; return +57.5% to +49.9%."
category_performance,category,"Digital Health, Specialty, Benefits",,"Digital Health, Specialty, Benefits",3,2,2,0,0.225390852569,0.238011985332,0.012621132763,2026-08-10,2026-08-17,"Digital Health, Specialty, Benefits moved from rank #2 to #2 among subcategories at 3 months; return +22.5% to +23.8%."
category_performance,category,Health Care Real Estate,,Health Care Real Estate,12,6,5,1,0.364251877603,0.372038086192,0.007786208589,2026-08-10,2026-08-17,Health Care Real Estate moved from rank #6 to #5 among subcategories at 12 months; return +36.4% to +37.2%.
category_performance,category,Health Care Real Estate,,Health Care Real Estate,24,3,3,0,0.786511274493,0.787393680745,0.000882406252,2026-08-10,2026-08-17,Health Care Real Estate moved from rank #3 to #3 among subcategories at 24 months; return +78.7% to +78.7%.
category_performance,category,Health Care Real Estate,,Health Care Real Estate,3,7,6,1,0.0832557889287,0.070882384272,-0.0123734046567,2026-08-10,2026-08-17,Health Care Real Estate moved from rank #7 to #6 among subcategories at 3 months; return +8.3% to +7.1%.
category_performance,category,Health IT and Data,,Health IT and Data,12,10,10,0,-0.316780857156,-0.303148912292,0.013631944864,2026-08-10,2026-08-17,Health IT and Data moved from rank #10 to #10 among subcategories at 12 months; return -31.7% to -30.3%.
category_performance,category,Health IT and Data,,Health IT and Data,24,8,8,0,0.115304157376,0.104340175233,-0.010963982143,2026-08-10,2026-08-17,Health IT and Data moved from rank #8 to #8 among subcategories at 24 months; return +11.5% to +10.4%.
category_performance,category,Health IT and Data,,Health IT and Data,3,10,10,0,-0.138631989569,-0.0922876267273,0.0463443628417,2026-08-10,2026-08-17,Health IT and Data moved from rank #10 to #10 among subcategories at 3 months; return -13.9% to -9.2%.
category_performance,category,Health System Providers,,Health System Providers,12,8,8,0,0.161300007794,0.106456369394,-0.0548436384,2026-08-10,2026-08-17,Health System Providers moved from rank #8 to #8 among subcategories at 12 months; return +16.1% to +10.6%.
category_performance,category,Health System Providers,,Health System Providers,24,7,7,0,0.212418257523,0.154536781621,-0.057881475902,2026-08-10,2026-08-17,Health System Providers moved from rank #7 to #7 among subcategories at 24 months; return +21.2% to +15.5%.
category_performance,category,Health System Providers,,Health System Providers,3,9,9,0,0.0319200251937,0.0324636421947,0.000543617001,2026-08-10,2026-08-17,Health System Providers moved from rank #9 to #9 among subcategories at 3 months; return +3.2% to +3.2%.
